name,Proposed_psnr,Proposed_ssim,Proposed_lpips,Proposed_dists,ELAN_psnr,ELAN_ssim,ELAN_lpips,ELAN_dists,EDSR_psnr,EDSR_ssim,EDSR_lpips,EDSR_dists,SwinIR_psnr,SwinIR_ssim,SwinIR_lpips,SwinIR_dists,DAT_psnr,DAT_ssim,DAT_lpips,DAT_dists,GRL_psnr,GRL_ssim,GRL_lpips,GRL_dists,ESRGAN_psnr,ESRGAN_ssim,ESRGAN_lpips,ESRGAN_dists
CT-0__patient91__24.png,31.854438205631528,0.925718334017288,0.0561962835490703,0.099843144416809,27.785143141891695,0.8813887290438729,0.0963297858834266,0.1490119099617004,30.8051112244144,0.913311206860506,0.0673528313636779,0.1085337400436401,28.605632072523868,0.8949698837416745,0.0859993696212768,0.1463721990585327,31.598384832329742,0.9195936870191008,0.0653823539614677,0.100542664527893,31.46751318479418,0.9211834544486102,0.0654560402035713,0.1034385561943054,29.0044941830284,0.8728514007217498,0.0387095548212528,0.0670172572135925
CT-1__patient268__17.png,31.589901257966485,0.923596730027037,0.0560053288936615,0.1200219392776489,27.44753389811089,0.8696795176662317,0.0937368869781494,0.2097123861312866,30.70109068458795,0.9089242870147084,0.0650463551282882,0.1572386622428894,28.20929640705939,0.8842834336545548,0.085869662463665,0.2012901306152343,31.33125422357733,0.9157574856821226,0.0639207363128662,0.153799295425415,31.50476475570577,0.918807701126653,0.0622457936406135,0.1432530879974365,29.180694519377013,0.8745227535675222,0.042724072933197,0.0640344619750976
CT-1__patient268__19.png,31.219791236241274,0.92679024609496,0.0483261384069919,0.0900359749794006,27.42232783606854,0.8751510998252662,0.0853204578161239,0.1620217561721801,29.96154636613216,0.9115111437954488,0.0597999915480613,0.1535431742668151,28.153722058656463,0.8891436475444321,0.0774660110473632,0.1621227860450744,30.600473246494616,0.918246300946157,0.05710419267416,0.1059983372688293,30.607863161272665,0.9200451852701812,0.0564151853322982,0.0956512689590454,28.984379185468207,0.8789782377630344,0.0407228171825408,0.0624061822891235
CT-1__patient268__21.png,31.14792280825453,0.9278603316343116,0.0528202094137668,0.0934327840805053,27.357482998922958,0.8771453196202661,0.0875199362635612,0.1485223770141601,30.228892138240745,0.9147846583872472,0.0617504455149173,0.1105487346649169,28.180990563420053,0.8912786271665026,0.0814654901623725,0.1436961889266967,30.675713949712936,0.9197985705766069,0.0626988485455513,0.0970381498336792,30.925704231436008,0.9223932922913276,0.0595376268029212,0.0941796898841857,29.32465404939684,0.8805077299480323,0.0403404757380485,0.0607366561889648
CT-1__patient268__23.png,31.673761740897145,0.9238000936154916,0.0638225078582763,0.0898737907409668,26.77334918446267,0.8712227841372842,0.0994946211576461,0.1498501300811767,30.50919369312465,0.9102179321026204,0.0755566358566284,0.1060193181037902,27.33135181261527,0.884186768733852,0.0939609855413436,0.1447393298149109,31.177487648400582,0.9164749799695632,0.0725367814302444,0.0978910326957702,31.172147360242345,0.918724143468862,0.070323422551155,0.0976500511169433,28.712637478930446,0.8672501572659351,0.0475761517882347,0.0672247409820556
CT-1__patient268__25.png,32.82914536168195,0.9338676127837764,0.0592899173498153,0.0921331048011779,28.026234087521203,0.8857421062737918,0.0958911776542663,0.1515611410140991,31.3703460561068,0.9210213973221626,0.0672727823257446,0.1073583960533142,28.85792677726183,0.9004356990353559,0.089341253042221,0.1411146521568298,32.30826993995788,0.9273161083704484,0.0670200437307357,0.0988179445266723,32.388380913455975,0.9291051555121802,0.0658058300614357,0.0947307348251342,30.091456034895288,0.883505239496485,0.0424333289265632,0.0569241046905517
CT-1__patient272__14.png,32.43299579256396,0.9343922112452836,0.0659761205315589,0.105508804321289,28.59635055604099,0.8903886408109939,0.0869893580675125,0.1443355083465576,31.333547218156724,0.9223604934343724,0.0726648420095443,0.1018548011779785,28.9457042206763,0.9011989537252464,0.0832690373063087,0.1432352066040039,31.889211186904603,0.9284676669563008,0.0737320184707641,0.1073124408721923,32.011198685709,0.9306971021760388,0.0710146129131317,0.1046303510665893,29.94508102377969,0.8900318148321089,0.0417186543345451,0.0668777823448181
CT-1__patient272__16.png,31.261229394496787,0.9277859546016294,0.067471757531166,0.1053701639175415,27.6811545918841,0.8816779231070552,0.100681647658348,0.1547661423683166,29.702883713637213,0.9123665216599828,0.0810915753245353,0.1100302934646606,27.888249769035795,0.8926722898763506,0.0955774784088134,0.1524979472160339,30.37327535005484,0.91856068537105,0.0796796828508377,0.114367127418518,30.28108019596644,0.9216813483862478,0.078231394290924,0.1139101982116699,28.35311228710971,0.8788604845910516,0.0455391630530357,0.0719400644302368
CT-1__patient272__18.png,32.08160453752419,0.9287689580987942,0.0652683526277542,0.105859100818634,28.256232183184625,0.8842439754081296,0.0940243899822235,0.1506379842758178,30.84404885037207,0.91652927326943,0.0742623209953308,0.1097318530082702,28.436694429176352,0.8946960027261587,0.0925742387771606,0.1553386449813842,31.40276540683385,0.9212037578678808,0.073523886501789,0.1133490800857544,31.40735501736372,0.9235703417398456,0.0730535238981247,0.1130950450897216,29.40774971031938,0.8809835899072725,0.0412248820066452,0.0710694193840026
CT-1__patient272__20.png,31.4390489273684,0.9286685387253452,0.0686394274234771,0.1006534695625305,28.505311753395222,0.8873321787607564,0.1034225597977638,0.1577211618423462,30.114389568426784,0.9149369712993908,0.0789284706115722,0.1166654229164123,28.81147330515626,0.8984389999728166,0.0947531014680862,0.1560905575752258,30.805660167799168,0.9204808977484936,0.076384037733078,0.11836838722229,30.76064253859456,0.9230790968939896,0.0749275982379913,0.1148688793182373,29.10601170533942,0.8835353858094698,0.047994464635849,0.0763393640518188
CT-1__patient272__22.png,31.070266839820665,0.925493185404093,0.0673795342445373,0.1086638569831848,27.529479696801115,0.8794343696398844,0.1072708144783973,0.1509928703308105,29.267730315081764,0.9101925382359748,0.0774335712194442,0.113935112953186,27.675213106542188,0.8906434264442152,0.101191259920597,0.1512801647186279,29.86827567540307,0.9170916751058354,0.0753417760133743,0.1174499988555908,29.922624435329837,0.9194893329598368,0.0735008269548416,0.115803837776184,28.24101126346519,0.877086977561495,0.0512889735400676,0.0776809453964233
CT-1__patient274__16.png,31.75182778939545,0.9259801607206524,0.0568129681050777,0.083063781261444,27.77304483761896,0.8773795031484796,0.082455888390541,0.133882462978363,30.26643009677099,0.9115821769620298,0.0683980733156204,0.1004226207733154,28.220043861238786,0.8878800686520982,0.0813115239143371,0.1343201398849487,31.14337826232201,0.9181626071206874,0.0674420967698097,0.0960878133773803,31.23177877567476,0.9205321820740534,0.0661215558648109,0.0939975976943969,29.130648091996694,0.8780933127186358,0.0405596941709518,0.0529775619506835
CT-1__patient274__18.png,31.398623949004534,0.9230209279591428,0.0586059764027595,0.0768321752548217,27.6495046541293,0.8720143932981864,0.0924611687660217,0.1256992220878601,29.52553459027534,0.9030729493829516,0.0724406689405441,0.0836811065673828,27.91537792454105,0.8818502317311566,0.0901165157556533,0.124954342842102,30.616883256860493,0.9131193941895726,0.0692363157868385,0.0809561610221862,30.818152769060305,0.9151614897213968,0.0668432712554931,0.0778403878211975,28.94701145490425,0.8694498005709507,0.0403572097420692,0.0554559230804443
CT-1__patient274__20.png,31.52511018373318,0.9184309437340544,0.0669365227222442,0.0895788669586181,27.164548579308967,0.8690000870876518,0.0926680192351341,0.1401151418685913,30.061246482472036,0.9028059863508224,0.0781250596046447,0.103649616241455,27.43341797690168,0.8785641577368136,0.092782162129879,0.1392101645469665,30.8282568030026,0.9089935595608064,0.0796934515237808,0.0927194356918335,30.89748915271885,0.9116443907936268,0.0754140615463256,0.0899005532264709,29.338757677795545,0.867216654814918,0.043307788670063,0.061502993106842
CT-1__patient274__22.png,31.63239790817656,0.9192246418097706,0.059144452214241,0.086235761642456,27.463624036305266,0.8724376000319588,0.085837997496128,0.1450264453887939,30.34790856752338,0.905292403158206,0.0666806101799011,0.094659149646759,27.594845582156143,0.880592157602862,0.0860596597194671,0.144544243812561,31.130307302984413,0.9108955027516592,0.0669616013765335,0.0936360359191894,31.20444950168153,0.913438536556288,0.0631950944662094,0.0855888724327087,29.364977993490434,0.8678912226348857,0.0360497198998928,0.0629669427871704
CT-1__patient274__24.png,32.011705776300815,0.9182225438615964,0.0651627406477928,0.0925235748291015,27.46718393259105,0.8710234472616382,0.0972230583429336,0.1555652618408203,30.235775187209533,0.9027477757123636,0.0768108442425727,0.1118152737617492,27.86829250330106,0.8802076551828806,0.0955751240253448,0.152246356010437,31.3820782318436,0.9099802092144178,0.0761771351099014,0.1093431711196899,30.35824004661871,0.9095714455935612,0.0740772411227226,0.0975385308265686,29.934840645851462,0.8681427586190562,0.0500974059104919,0.0697291493415832
CT-1__patient281__22.png,33.26716855523398,0.8865687812674486,0.163794919848442,0.1585617661476135,29.278966313321604,0.8470473437127198,0.1639736741781234,0.1641381978988647,32.23831856266887,0.8775370636405042,0.1641607880592346,0.1651775240898132,30.02860995292498,0.8591375203417206,0.1810674369335174,0.1668060421943664,33.01409514161371,0.8825003006843538,0.1655687540769577,0.1584115028381347,33.14317385672948,0.8853866951966252,0.1631838232278823,0.1593390703201294,31.206585402352687,0.8432704539045629,0.0863041058182716,0.1325796842575073
CT-1__patient281__24.png,32.076587144347954,0.8951670075002882,0.1309002190828323,0.153660774230957,28.26420984640441,0.8515823246599797,0.1361461132764816,0.1527816653251648,31.20929556616275,0.8838167227310032,0.1329927444458007,0.1533318758010864,29.125284056850308,0.8651629114490296,0.1499980986118316,0.1545495390892028,31.7797550733938,0.8897461763377993,0.1326481401920318,0.1569597721099853,31.923233155432765,0.8930445214148165,0.1306290030479431,0.152208924293518,30.089202286446746,0.8522354044137117,0.0671186074614524,0.1206579208374023
